"Algoritmo", "entrada", "tempo"
"ShellSort",10000,0.0318145751953125
"BubbleSort+",15000,25.19976258277893
"BubbleSort",15000,24.52515482902527
"QuickSortPF",15000,11.84610629081726
"QuickSort",15000,0.03196239471435547
"HeapSort",15000,0.10003042221069336
"InsertionSort",15000,17.57690453529358
"ShellSort",15000,0.15839529037475586
"SelectionSort",15000,7.389303207397461
"ShellSort",15000,0.049660682678222656
"BubbleSort+",20000,44.71609878540039
"BubbleSort",20000,43.69219779968262
"QuickSortPF",20000,20.95227861404419
"QuickSort",20000,0.045465707778930664
"HeapSort",20000,0.1390848159790039
"InsertionSort",20000,30.78156352043152
"ShellSort",20000,0.1610555648803711
"SelectionSort",20000,13.13626742362976
"ShellSort",20000,0.06692814826965332
"BubbleSort+",25000,73.37499737739563
"BubbleSort",25000,73.96550703048706
"QuickSortPF",25000,32.430643796920776
"QuickSort",25000,0.0588381290435791
"HeapSort",25000,0.18030953407287598
"InsertionSort",25000,50.38186454772949
"ShellSort",25000,0.2491471767425537
"SelectionSort",25000,24.159862279891968
"ShellSort",25000,0.12141942977905273
"BubbleSort+",30000,112.10386037826538
"BubbleSort",30000,104.234060049057
"QuickSortPF",30000,49.2613570690155
"QuickSort",30000,0.0636751651763916
"HeapSort",30000,0.19971084594726562
"InsertionSort",30000,69.52246284484863
"ShellSort",30000,0.17383050918579102
"SelectionSort",30000,31.28195333480835
"ShellSort",30000,0.09014630317687988
